,index,State,Area,Year,UnemploymentRate,Change,Region,LHS,HS,SC,BD,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate,MedianIncome
53,53,AL,Bibb County,2016,6.5,-0.5,South,19.3,41.8,26.9,12.0,22633.0,0.9,-1.4,
54,54,AL,Bibb County,2017,4.4,-2.1,South,,,,,22668.0,0.9,-0.9,
55,55,AL,Blount County,2007,3.2,,South,,,,,,,,
56,56,AL,Blount County,2008,4.7,1.5,South,,,,,,,,
57,57,AL,Blount County,2009,10.0,5.3,South,,,,,,,,
58,58,AL,Blount County,2010,9.8,-0.2,South,,,,,,,,
59,59,AL,Blount County,2011,8.7,-1.1,South,,,,,57562.0,-0.2,0.5,
60,60,AL,Blount County,2012,6.9,-1.8,South,20.0,32.9,34.0,13.1,57595.0,0.4,-1.7,
61,61,AL,Blount County,2013,6.3,-0.6,South,20.0,32.9,34.0,13.1,57623.0,0.6,-1.1,
62,62,AL,Blount County,2014,6.1,-0.2,South,20.0,32.9,34.0,13.1,57546.0,1.0,-2.7,
63,63,AL,Blount County,2015,5.0,-1.1,South,20.0,32.9,34.0,13.1,57590.0,1.0,-1.6,
64,64,AL,Blount County,2016,5.4,0.4,South,20.0,32.9,34.0,13.1,57562.0,1.1,-1.7,
65,65,AL,Blount County,2017,4.0,-1.4,South,,,,,58013.0,1.1,6.2,
66,66,AL,Bullock County,2007,9.4,,South,,,,,,,,
67,67,AL,Bullock County,2008,10.5,1.1,South,,,,,,,,
68,68,AL,Bullock County,2009,15.6,5.1,South,,,,,,,,
69,69,AL,Bullock County,2010,11.8,-3.8,South,,,,,,,,
70,70,AL,Bullock County,2011,11.6,-0.2,South,,,,,10675.0,1.2,-24.2,
71,71,AL,Bullock County,2012,10.4,-1.2,South,33.4,34.1,22.2,10.3,10612.0,1.4,-7.8,
72,72,AL,Bullock County,2013,9.4,-1.0,South,33.4,34.1,22.2,10.3,10549.0,1.0,-8.0,
73,73,AL,Bullock County,2014,8.8,-0.6,South,33.4,34.1,22.2,10.3,10673.0,1.3,9.2,
74,74,AL,Bullock County,2015,8.0,-0.8,South,33.4,34.1,22.2,10.3,10419.0,1.6,-25.2,
75,75,AL,Bullock County,2016,6.9,-1.1,South,33.4,34.1,22.2,10.3,10441.0,1.7,-2.5,
76,76,AL,Bullock County,2017,4.9,-2.0,South,,,,,10309.0,1.7,-16.4,
77,77,AL,Butler County,2007,6.2,,South,,,,,,,,
78,78,AL,Butler County,2008,8.5,2.3,South,,,,,,,,
79,79,AL,Butler County,2009,16.4,7.9,South,,,,,,,,
80,80,AL,Butler County,2010,13.6,-2.8,South,,,,,,,,
81,81,AL,Butler County,2011,12.5,-1.1,South,,,,,20880.0,0.0,-3.7,
82,82,AL,Butler County,2012,11.5,-1.0,South,18.9,39.9,25.1,16.1,20688.0,0.2,-8.1,
83,83,AL,Butler County,2013,10.3,-1.2,South,18.9,39.9,25.1,16.1,20372.0,0.2,-14.8,
84,84,AL,Butler County,2014,8.5,-1.8,South,18.9,39.9,25.1,16.1,20327.0,0.3,-0.5,
85,85,AL,Butler County,2015,8.0,-0.5,South,18.9,39.9,25.1,16.1,20141.0,0.3,-7.6,
86,86,AL,Butler County,2016,6.9,-1.1,South,18.9,39.9,25.1,16.1,19965.0,0.3,-7.6,
87,87,AL,Butler County,2017,5.5,-1.4,South,,,,,19825.0,0.4,-6.1,
88,88,AL,Calhoun County,2007,3.9,,South,,,,,,,,
89,89,AL,Calhoun County,2008,5.7,1.8,South,,,,,,,,
90,90,AL,Calhoun County,2009,11.1,5.4,South,,,,,,,,
91,91,AL,Calhoun County,2010,11.4,0.3,South,,,,,,,,
92,92,AL,Calhoun County,2011,10.3,-1.1,South,,,,,117785.0,0.2,-6.5,
93,93,AL,Calhoun County,2012,8.9,-1.4,South,17.7,32.1,32.6,17.7,117219.0,0.4,-5.1,
94,94,AL,Calhoun County,2013,8.8,-0.1,South,17.7,32.1,32.6,17.7,116482.0,0.2,-5.6,
95,95,AL,Calhoun County,2014,8.0,-0.8,South,17.7,32.1,32.6,17.7,115941.0,0.6,-4.6,
96,96,AL,Calhoun County,2015,7.0,-1.0,South,17.7,32.1,32.6,17.7,115505.0,0.7,-3.8,
97,97,AL,Calhoun County,2016,6.6,-0.4,South,17.7,32.1,32.6,17.7,114980.0,0.7,-4.3,
98,98,AL,Calhoun County,2017,4.9,-1.7,South,,,,,114728.0,0.7,-2.2,
99,99,AL,Chambers County,2007,6.5,,South,,,,,,,,
100,100,AL,Chambers County,2008,14.4,7.9,South,,,,,,,,
101,101,AL,Chambers County,2009,19.6,5.2,South,,,,,,,,
102,102,AL,Chambers County,2010,14.9,-4.7,South,,,,,,,,
103,103,AL,Chambers County,2011,12.0,-2.9,South,,,,,34031.0,0.8,-2.2,
104,104,AL,Chambers County,2012,9.9,-2.1,South,19.7,39.4,28.4,12.5,34092.0,0.5,3.6,
105,105,AL,Chambers County,2013,8.0,-1.9,South,19.7,39.4,28.4,12.5,34122.0,0.6,1.7,
106,106,AL,Chambers County,2014,6.7,-1.3,South,19.7,39.4,28.4,12.5,33948.0,0.4,-4.6,
107,107,AL,Chambers County,2015,6.0,-0.7,South,19.7,39.4,28.4,12.5,33968.0,0.5,0.9,
108,108,AL,Chambers County,2016,5.5,-0.5,South,19.7,39.4,28.4,12.5,33717.0,0.5,-6.1,
109,109,AL,Chambers County,2017,4.1,-1.4,South,,,,,33713.0,0.5,1.9,
110,110,AL,Cherokee County,2007,4.2,,South,,,,,,,,
111,111,AL,Cherokee County,2008,5.7,1.5,South,,,,,,,,
112,112,AL,Cherokee County,2009,11.7,6.0,South,,,,,,,,
113,113,AL,Cherokee County,2010,10.6,-1.1,South,,,,,,,,
114,114,AL,Cherokee County,2011,9.7,-0.9,South,,,,,25993.0,-0.1,4.4,
115,115,AL,Cherokee County,2012,8.0,-1.7,South,18.7,36.0,31.4,14.0,25958.0,0.1,2.0,
116,116,AL,Cherokee County,2013,6.6,-1.4,South,18.7,36.0,31.4,14.0,26014.0,0.2,6.2,
117,117,AL,Cherokee County,2014,5.8,-0.8,South,18.7,36.0,31.4,14.0,25897.0,0.2,-0.8,
118,118,AL,Cherokee County,2015,6.0,0.2,South,18.7,36.0,31.4,14.0,25741.0,0.2,-2.0,
119,119,AL,Cherokee County,2016,5.1,-0.9,South,18.7,36.0,31.4,14.0,25766.0,0.3,5.5,
120,120,AL,Cherokee County,2017,4.1,-1.0,South,,,,,25857.0,0.3,6.9,
121,121,AL,Chilton County,2007,3.4,,South,,,,,,,,
122,122,AL,Chilton County,2008,5.1,1.7,South,,,,,,,,
123,123,AL,Chilton County,2009,10.6,5.5,South,,,,,,,,
124,124,AL,Chilton County,2010,10.3,-0.3,South,,,,,,,,
125,125,AL,Chilton County,2011,9.1,-1.2,South,,,,,43688.0,0.5,-1.9,
126,126,AL,Chilton County,2012,7.2,-1.9,South,19.9,41.3,24.0,14.9,43601.0,0.3,-3.8,
127,127,AL,Chilton County,2013,6.6,-0.6,South,19.9,41.3,24.0,14.9,43645.0,0.1,0.1,
128,128,AL,Chilton County,2014,6.3,-0.3,South,19.9,41.3,24.0,14.9,43779.0,0.3,0.3,
129,129,AL,Chilton County,2015,6.0,-0.3,South,19.9,41.3,24.0,14.9,43706.0,0.5,-2.7,
130,130,AL,Chilton County,2016,5.5,-0.5,South,19.9,41.3,24.0,14.9,43830.0,0.5,1.1,
131,131,AL,Chilton County,2017,4.0,-1.5,South,,,,,44067.0,0.5,3.8,
132,132,AL,Choctaw County,2007,5.9,,South,,,,,,,,
133,133,AL,Choctaw County,2008,8.3,2.4,South,,,,,,,,
134,134,AL,Choctaw County,2009,13.5,5.2,South,,,,,,,,
135,135,AL,Choctaw County,2010,13.3,-0.2,South,,,,,,,,
136,136,AL,Choctaw County,2011,13.1,-0.2,South,,,,,13607.0,-0.1,-14.5,
137,137,AL,Choctaw County,2012,10.3,-2.8,South,21.1,37.3,29.6,12.0,13561.0,-0.1,-0.4,
138,138,AL,Choctaw County,2013,9.2,-1.1,South,21.1,37.3,29.6,12.0,13396.0,-0.1,-7.9,
139,139,AL,Choctaw County,2014,9.0,-0.2,South,21.1,37.3,29.6,12.0,13318.0,-0.1,-2.9,
140,140,AL,Choctaw County,2015,9.0,0.0,South,21.1,37.3,29.6,12.0,13231.0,-0.2,-4.4,
141,141,AL,Choctaw County,2016,8.5,-0.5,South,21.1,37.3,29.6,12.0,13050.0,-0.2,-11.2,
142,142,AL,Choctaw County,2017,6.4,-2.1,South,,,,,12945.0,-0.2,-5.5,
143,143,AL,Clarke County,2007,6.1,,South,,,,,,,,
144,144,AL,Clarke County,2008,9.0,2.9,South,,,,,,,,
145,145,AL,Clarke County,2009,16.5,7.5,South,,,,,,,,
146,146,AL,Clarke County,2010,19.9,3.4,South,,,,,,,,
147,147,AL,Clarke County,2011,18.8,-1.1,South,,,,,25582.0,0.1,-5.7,
148,148,AL,Clarke County,2012,15.0,-3.8,South,19.0,45.1,23.8,12.1,25152.0,0.0,-17.6,
149,149,AL,Clarke County,2013,13.8,-1.2,South,19.0,45.1,23.8,12.1,25118.0,0.0,-0.4,
150,150,AL,Clarke County,2014,12.2,-1.6,South,19.0,45.1,23.8,12.1,24865.0,0.1,-9.1,
151,151,AL,Clarke County,2015,12.0,-0.2,South,19.0,45.1,23.8,12.1,24708.0,0.1,-7.2,
152,152,AL,Clarke County,2016,10.9,-1.1,South,19.0,45.1,23.8,12.1,24350.0,0.2,-14.1,
153,153,AL,Clarke County,2017,8.5,-2.4,South,,,,,24083.0,0.2,-9.1,
154,154,AL,Clay County,2007,5.5,,South,,,,,,,,
155,155,AL,Clay County,2008,7.9,2.4,South,,,,,,,,
156,156,AL,Clay County,2009,16.7,8.8,South,,,,,,,,
157,157,AL,Clay County,2010,14.5,-2.2,South,,,,,,,,
158,158,AL,Clay County,2011,11.8,-2.7,South,,,,,13688.0,0.1,-11.4,
159,159,AL,Clay County,2012,9.4,-2.4,South,25.4,34.6,29.0,11.1,13434.0,-0.1,-16.2,
160,160,AL,Clay County,2013,8.3,-1.1,South,25.4,34.6,29.0,11.1,13406.0,0.0,1.9,
161,161,AL,Clay County,2014,7.1,-1.2,South,25.4,34.6,29.0,11.1,13440.0,-0.1,4.5,
162,162,AL,Clay County,2015,6.0,-1.1,South,25.4,34.6,29.0,11.1,13414.0,0.0,1.8,
163,163,AL,Clay County,2016,6.0,0.0,South,25.4,34.6,29.0,11.1,13410.0,0.0,1.7,
164,164,AL,Clay County,2017,4.4,-1.6,South,,,,,13367.0,0.0,0.6,
165,165,AL,Cleburne County,2007,3.7,,South,,,,,,,,
166,166,AL,Cleburne County,2008,5.1,1.4,South,,,,,,,,
167,167,AL,Cleburne County,2009,10.2,5.1,South,,,,,,,,
168,168,AL,Cleburne County,2010,10.0,-0.2,South,,,,,,,,
169,169,AL,Cleburne County,2011,9.7,-0.3,South,,,,,14928.0,0.0,-5.9,
170,170,AL,Cleburne County,2012,8.2,-1.5,South,25.8,38.0,24.7,11.5,14889.0,-0.1,-4.2,
171,171,AL,Cleburne County,2013,7.7,-0.5,South,25.8,38.0,24.7,11.5,14976.0,-0.3,6.9,
172,172,AL,Cleburne County,2014,6.6,-1.1,South,25.8,38.0,24.7,11.5,15026.0,-0.3,3.3,
173,173,AL,Cleburne County,2015,6.0,-0.6,South,25.8,38.0,24.7,11.5,14922.0,-0.3,-2.5,
174,174,AL,Cleburne County,2016,6.0,0.0,South,25.8,38.0,24.7,11.5,14873.0,-0.3,-0.8,
175,175,AL,Cleburne County,2017,4.5,-1.5,South,,,,,14900.0,-0.3,4.6,
176,176,AL,Coffee County,2007,3.8,,South,,,,,,,,
177,177,AL,Coffee County,2008,4.8,1.0,South,,,,,,,,
178,178,AL,Coffee County,2009,8.5,3.7,South,,,,,,,,
179,179,AL,Coffee County,2010,8.6,0.1,South,,,,,,,,
180,180,AL,Coffee County,2011,8.1,-0.5,South,,,,,50434.0,1.6,-0.3,
181,181,AL,Coffee County,2012,7.0,-1.1,South,14.9,29.3,32.1,23.7,51113.0,3.7,7.0,
182,182,AL,Coffee County,2013,6.9,-0.1,South,14.9,29.3,32.1,23.7,50647.0,1.9,-13.2,
183,183,AL,Coffee County,2014,6.6,-0.3,South,14.9,29.3,32.1,23.7,50652.0,1.7,-4.5,
184,184,AL,Coffee County,2015,6.0,-0.6,South,14.9,29.3,32.1,23.7,50974.0,2.1,2.6,
185,185,AL,Coffee County,2016,5.9,-0.1,South,14.9,29.3,32.1,23.7,51217.0,1.5,-0.1,
186,186,AL,Coffee County,2017,4.4,-1.5,South,,,,,51874.0,1.0,9.4,
187,187,AL,Colbert County,2007,4.6,,South,,,,,,,,
188,188,AL,Colbert County,2008,6.5,1.9,South,,,,,,,,
189,189,AL,Colbert County,2009,11.6,5.1,South,,,,,,,,
190,190,AL,Colbert County,2010,11.5,-0.1,South,,,,,,,,
191,191,AL,Colbert County,2011,10.2,-1.3,South,,,,,54534.0,0.5,1.0,
192,192,AL,Colbert County,2012,8.8,-1.4,South,16.6,34.8,30.1,18.5,54569.0,0.2,1.4,
193,193,AL,Colbert County,2013,8.2,-0.6,South,16.6,34.8,30.1,18.5,54528.0,0.1,1.8,
194,194,AL,Colbert County,2014,8.3,0.1,South,16.6,34.8,30.1,18.5,54461.0,0.0,1.2,
195,195,AL,Colbert County,2015,8.0,-0.3,South,16.6,34.8,30.1,18.5,54358.0,0.0,0.8,
196,196,AL,Colbert County,2016,7.0,-1.0,South,16.6,34.8,30.1,18.5,54327.0,0.1,1.0,
197,197,AL,Colbert County,2017,5.2,-1.8,South,,,,,54500.0,0.1,4.4,
198,198,AL,Conecuh County,2007,6.4,,South,,,,,,,,
199,199,AL,Conecuh County,2008,9.4,3.0,South,,,,,,,,
200,200,AL,Conecuh County,2009,19.9,10.5,South,,,,,,,,
201,201,AL,Conecuh County,2010,17.2,-2.7,South,,,,,,,,
202,202,AL,Conecuh County,2011,15.2,-2.0,South,,,,,13187.0,0.0,-0.8,
203,203,AL,Conecuh County,2012,11.9,-3.3,South,20.6,46.2,24.6,8.7,13041.0,0.1,-9.6,
204,204,AL,Conecuh County,2013,10.7,-1.2,South,20.6,46.2,24.6,8.7,12908.0,0.2,-7.2,
205,205,AL,Conecuh County,2014,10.3,-0.4,South,20.6,46.2,24.6,8.7,12677.0,0.1,-15.2,
206,206,AL,Conecuh County,2015,9.0,-1.3,South,20.6,46.2,24.6,8.7,12678.0,0.2,1.5,
207,207,AL,Conecuh County,2016,8.4,-0.6,South,20.6,46.2,24.6,8.7,12515.0,0.2,-11.9,
208,208,AL,Conecuh County,2017,6.1,-2.3,South,,,,,12469.0,0.2,-2.2,
209,209,AL,Coosa County,2007,5.8,,South,,,,,,,,
210,210,AL,Coosa County,2008,8.3,2.5,South,,,,,,,,
211,211,AL,Coosa County,2009,16.0,7.7,South,,,,,,,,
212,212,AL,Coosa County,2010,15.4,-0.6,South,,,,,,,,
213,213,AL,Coosa County,2011,12.5,-2.9,South,,,,,11484.0,0.0,-20.1,
214,214,AL,Coosa County,2012,9.4,-3.1,South,27.1,36.3,26.7,9.9,11347.0,-0.1,-8.9,
215,215,AL,Coosa County,2013,9.2,-0.2,South,27.1,36.3,26.7,9.9,11253.0,0.1,-4.2,
216,216,AL,Coosa County,2014,8.8,-0.4,South,27.1,36.3,26.7,9.9,11034.0,0.3,-18.5,
217,217,AL,Coosa County,2015,7.0,-1.8,South,27.1,36.3,26.7,9.9,10923.0,0.3,-6.6,
218,218,AL,Coosa County,2016,6.0,-1.0,South,27.1,36.3,26.7,9.9,10809.0,0.3,-5.9,
219,219,AL,Coosa County,2017,4.6,-1.4,South,,,,,10754.0,0.3,-2.6,
220,220,AL,Covington County,2007,3.9,,South,,,,,,,,
221,221,AL,Covington County,2008,5.9,2.0,South,,,,,,,,
222,222,AL,Covington County,2009,10.8,4.9,South,,,,,,,,
223,223,AL,Covington County,2010,10.3,-0.5,South,,,,,,,,
224,224,AL,Covington County,2011,9.8,-0.5,South,,,,,38017.0,0.1,6.1,
225,225,AL,Covington County,2012,8.4,-1.4,South,19.1,34.4,31.6,14.9,37803.0,-0.1,-3.7,
226,226,AL,Covington County,2013,8.1,-0.3,South,19.1,34.4,31.6,14.9,37811.0,0.0,1.5,
227,227,AL,Covington County,2014,7.8,-0.3,South,19.1,34.4,31.6,14.9,37755.0,-0.1,0.5,
228,228,AL,Covington County,2015,7.0,-0.8,South,19.1,34.4,31.6,14.9,37550.0,-0.1,-1.8,
229,229,AL,Covington County,2016,6.8,-0.2,South,19.1,34.4,31.6,14.9,37386.0,-0.1,-3.2,
230,230,AL,Covington County,2017,5.2,-1.6,South,,,,,37092.0,-0.1,-6.0,
231,231,AL,Crenshaw County,2007,4.3,,South,,,,,,,,
232,232,AL,Crenshaw County,2008,5.6,1.3,South,,,,,,,,
233,233,AL,Crenshaw County,2009,10.4,4.8,South,,,,,,,,
234,234,AL,Crenshaw County,2010,10.2,-0.2,South,,,,,,,,
235,235,AL,Crenshaw County,2011,9.9,-0.3,South,,,,,13898.0,0.9,0.7,
236,236,AL,Crenshaw County,2012,8.3,-1.6,South,21.7,38.5,25.1,14.6,13916.0,0.8,2.1,
237,237,AL,Crenshaw County,2013,7.7,-0.6,South,21.7,38.5,25.1,14.6,13847.0,0.0,-3.7,
238,238,AL,Crenshaw County,2014,6.9,-0.8,South,21.7,38.5,25.1,14.6,13852.0,-0.1,2.3,
239,239,AL,Crenshaw County,2015,6.0,-0.9,South,21.7,38.5,25.1,14.6,13851.0,0.0,4.0,
240,240,AL,Crenshaw County,2016,5.9,-0.1,South,21.7,38.5,25.1,14.6,13907.0,0.0,5.1,
241,241,AL,Crenshaw County,2017,4.5,-1.4,South,,,,,13871.0,0.0,-1.2,
242,242,AL,Cullman County,2007,3.4,,South,,,,,,,,
243,243,AL,Cullman County,2008,4.9,1.5,South,,,,,,,,
244,244,AL,Cullman County,2009,10.3,5.4,South,,,,,,,,
245,245,AL,Cullman County,2010,10.4,0.1,South,,,,,,,,
246,246,AL,Cullman County,2011,9.5,-0.9,South,,,,,80411.0,0.2,-1.9,
247,247,AL,Cullman County,2012,7.7,-1.8,South,17.8,35.1,32.1,15.0,80275.0,0.1,-1.2,
248,248,AL,Cullman County,2013,6.7,-1.0,South,17.8,35.1,32.1,15.0,80674.0,0.3,4.8,
249,249,AL,Cullman County,2014,6.1,-0.6,South,17.8,35.1,32.1,15.0,81041.0,0.3,3.5,
250,250,AL,Cullman County,2015,5.0,-1.1,South,17.8,35.1,32.1,15.0,81721.0,0.3,7.5,
251,251,AL,Cullman County,2016,5.0,0.0,South,17.8,35.1,32.1,15.0,82322.0,0.4,7.3,
252,252,AL,Cullman County,2017,3.7,-1.3,South,,,,,82755.0,0.4,5.2,
253,253,AL,Dale County,2007,4.0,,South,,,,,,,,
254,254,AL,Dale County,2008,5.4,1.4,South,,,,,,,,
255,255,AL,Dale County,2009,9.6,4.2,South,,,,,,,,
256,256,AL,Dale County,2010,8.8,-0.8,South,,,,,,,,
257,257,AL,Dale County,2011,8.3,-0.5,South,,,,,50107.0,1.0,-11.2,
258,258,AL,Dale County,2012,7.4,-0.9,South,14.2,33.1,36.7,16.1,50287.0,3.5,-4.8,
259,259,AL,Dale County,2013,7.4,0.0,South,14.2,33.1,36.7,16.1,49759.0,1.6,-15.5,
260,260,AL,Dale County,2014,7.1,-0.3,South,14.2,33.1,36.7,16.1,49409.0,1.3,-12.7,
261,261,AL,Dale County,2015,6.0,-1.1,South,14.2,33.1,36.7,16.1,49344.0,2.0,-5.5,
262,262,AL,Dale County,2016,5.8,-0.2,South,14.2,33.1,36.7,16.1,49228.0,0.9,-5.8,
263,263,AL,Dale County,2017,4.4,-1.4,South,,,,,49226.0,0.1,-2.1,
264,264,AL,Dallas County,2007,8.3,,South,,,,,,,,
265,265,AL,Dallas County,2008,11.1,2.8,South,,,,,,,,
266,266,AL,Dallas County,2009,21.1,10.0,South,,,,,,,,
267,267,AL,Dallas County,2010,16.9,-4.2,South,,,,,,,,
268,268,AL,Dallas County,2011,15.1,-1.8,South,,,,,43256.0,-0.2,-15.0,
269,269,AL,Dallas County,2012,12.9,-2.2,South,21.0,36.5,28.8,13.8,42795.0,-0.1,-12.7,
270,270,AL,Dallas County,2013,12.2,-0.7,South,21.0,36.5,28.8,13.8,41981.0,-0.1,-18.3,
271,271,AL,Dallas County,2014,11.2,-1.0,South,21.0,36.5,28.8,13.8,41559.0,-0.1,-10.4,
272,272,AL,Dallas County,2015,10.0,-1.2,South,21.0,36.5,28.8,13.8,40939.0,0.0,-14.6,
273,273,AL,Dallas County,2016,9.2,-0.8,South,21.0,36.5,28.8,13.8,40081.0,0.0,-19.7,
274,274,AL,Dallas County,2017,7.5,-1.7,South,,,,,39215.0,0.0,-20.4,
275,275,AL,DeKalb County,2007,4.3,,South,,,,,,,,
276,276,AL,DeKalb County,2008,5.8,1.5,South,,,,,,,,
277,277,AL,DeKalb County,2009,14.3,8.5,South,,,,,,,,
278,278,AL,DeKalb County,2010,12.7,-1.6,South,,,,,,,,
279,279,AL,DeKalb County,2011,11.8,-0.9,South,,,,,71353.0,1.1,-0.1,
280,280,AL,DeKalb County,2012,9.0,-2.8,South,27.4,34.3,27.0,11.4,70944.0,1.0,-9.0,
281,281,AL,DeKalb County,2013,7.6,-1.4,South,27.4,34.3,27.0,11.4,70905.0,0.8,-1.4,
282,282,AL,DeKalb County,2014,6.9,-0.7,South,27.4,34.3,27.0,11.4,71034.0,1.1,-0.5,
283,283,AL,DeKalb County,2015,6.0,-0.9,South,27.4,34.3,27.0,11.4,71198.0,1.3,0.7,
284,284,AL,DeKalb County,2016,6.1,0.1,South,27.4,34.3,27.0,11.4,71216.0,1.3,-1.8,
285,285,AL,DeKalb County,2017,4.5,-1.6,South,,,,,71617.0,1.3,3.4,
286,286,AL,Elmore County,2007,3.3,,South,,,,,,,,
287,287,AL,Elmore County,2008,5.1,1.8,South,,,,,,,,
288,288,AL,Elmore County,2009,9.5,4.4,South,,,,,,,,
289,289,AL,Elmore County,2010,9.1,-0.4,South,,,,,,,,
290,290,AL,Elmore County,2011,8.4,-0.7,South,,,,,80006.0,0.4,1.8,
291,291,AL,Elmore County,2012,6.9,-1.5,South,13.2,35.4,29.1,22.2,80220.0,0.9,-1.9,
292,292,AL,Elmore County,2013,6.2,-0.7,South,13.2,35.4,29.1,22.2,80555.0,0.8,0.6,
293,293,AL,Elmore County,2014,5.7,-0.5,South,13.2,35.4,29.1,22.2,80562.0,0.5,-2.9,
