,State,Area,MedianIncome2016,Year,UnemploymentRate,Region
163,AL,Clay County,38512.0,2016,6.0,South
164,AL,Clay County,,2017,4.4,South
165,AL,Cleburne County,,2007,3.7,South
166,AL,Cleburne County,,2008,5.1,South
167,AL,Cleburne County,,2009,10.2,South
168,AL,Cleburne County,,2010,10.0,South
169,AL,Cleburne County,,2011,9.7,South
170,AL,Cleburne County,,2012,8.2,South
171,AL,Cleburne County,,2013,7.7,South
172,AL,Cleburne County,,2014,6.6,South
173,AL,Cleburne County,,2015,6.0,South
174,AL,Cleburne County,43483.0,2016,6.0,South
175,AL,Cleburne County,,2017,4.5,South
176,AL,Coffee County,,2007,3.8,South
177,AL,Coffee County,,2008,4.8,South
178,AL,Coffee County,,2009,8.5,South
179,AL,Coffee County,,2010,8.6,South
180,AL,Coffee County,,2011,8.1,South
181,AL,Coffee County,,2012,7.0,South
182,AL,Coffee County,,2013,6.9,South
183,AL,Coffee County,,2014,6.6,South
184,AL,Coffee County,,2015,6.0,South
185,AL,Coffee County,48632.0,2016,5.9,South
186,AL,Coffee County,,2017,4.4,South
187,AL,Colbert County,,2007,4.6,South
188,AL,Colbert County,,2008,6.5,South
189,AL,Colbert County,,2009,11.6,South
190,AL,Colbert County,,2010,11.5,South
191,AL,Colbert County,,2011,10.2,South
192,AL,Colbert County,,2012,8.8,South
193,AL,Colbert County,,2013,8.2,South
194,AL,Colbert County,,2014,8.3,South
195,AL,Colbert County,,2015,8.0,South
196,AL,Colbert County,46572.0,2016,7.0,South
197,AL,Colbert County,,2017,5.2,South
198,AL,Conecuh County,,2007,6.4,South
199,AL,Conecuh County,,2008,9.4,South
200,AL,Conecuh County,,2009,19.9,South
201,AL,Conecuh County,,2010,17.2,South
202,AL,Conecuh County,,2011,15.2,South
203,AL,Conecuh County,,2012,11.9,South
204,AL,Conecuh County,,2013,10.7,South
205,AL,Conecuh County,,2014,10.3,South
206,AL,Conecuh County,,2015,9.0,South
207,AL,Conecuh County,29758.0,2016,8.4,South
208,AL,Conecuh County,,2017,6.1,South
209,AL,Coosa County,,2007,5.8,South
210,AL,Coosa County,,2008,8.3,South
211,AL,Coosa County,,2009,16.0,South
212,AL,Coosa County,,2010,15.4,South
213,AL,Coosa County,,2011,12.5,South
214,AL,Coosa County,,2012,9.4,South
215,AL,Coosa County,,2013,9.2,South
216,AL,Coosa County,,2014,8.8,South
217,AL,Coosa County,,2015,7.0,South
218,AL,Coosa County,36441.0,2016,6.0,South
219,AL,Coosa County,,2017,4.6,South
220,AL,Covington County,,2007,3.9,South
221,AL,Covington County,,2008,5.9,South
222,AL,Covington County,,2009,10.8,South
223,AL,Covington County,,2010,10.3,South
224,AL,Covington County,,2011,9.8,South
225,AL,Covington County,,2012,8.4,South
226,AL,Covington County,,2013,8.1,South
227,AL,Covington County,,2014,7.8,South
228,AL,Covington County,,2015,7.0,South
229,AL,Covington County,35010.0,2016,6.8,South
230,AL,Covington County,,2017,5.2,South
231,AL,Crenshaw County,,2007,4.3,South
232,AL,Crenshaw County,,2008,5.6,South
233,AL,Crenshaw County,,2009,10.4,South
234,AL,Crenshaw County,,2010,10.2,South
235,AL,Crenshaw County,,2011,9.9,South
236,AL,Crenshaw County,,2012,8.3,South
237,AL,Crenshaw County,,2013,7.7,South
238,AL,Crenshaw County,,2014,6.9,South
239,AL,Crenshaw County,,2015,6.0,South
240,AL,Crenshaw County,37374.0,2016,5.9,South
241,AL,Crenshaw County,,2017,4.5,South
242,AL,Cullman County,,2007,3.4,South
243,AL,Cullman County,,2008,4.9,South
244,AL,Cullman County,,2009,10.3,South
245,AL,Cullman County,,2010,10.4,South
246,AL,Cullman County,,2011,9.5,South
247,AL,Cullman County,,2012,7.7,South
248,AL,Cullman County,,2013,6.7,South
249,AL,Cullman County,,2014,6.1,South
250,AL,Cullman County,,2015,5.0,South
251,AL,Cullman County,41543.0,2016,5.0,South
252,AL,Cullman County,,2017,3.7,South
253,AL,Dale County,,2007,4.0,South
254,AL,Dale County,,2008,5.4,South
255,AL,Dale County,,2009,9.6,South
256,AL,Dale County,,2010,8.8,South
257,AL,Dale County,,2011,8.3,South
258,AL,Dale County,,2012,7.4,South
259,AL,Dale County,,2013,7.4,South
260,AL,Dale County,,2014,7.1,South
261,AL,Dale County,,2015,6.0,South
262,AL,Dale County,40523.0,2016,5.8,South
263,AL,Dale County,,2017,4.4,South
264,AL,Dallas County,,2007,8.3,South
265,AL,Dallas County,,2008,11.1,South
266,AL,Dallas County,,2009,21.1,South
267,AL,Dallas County,,2010,16.9,South
268,AL,Dallas County,,2011,15.1,South
269,AL,Dallas County,,2012,12.9,South
270,AL,Dallas County,,2013,12.2,South
271,AL,Dallas County,,2014,11.2,South
272,AL,Dallas County,,2015,10.0,South
273,AL,Dallas County,30488.0,2016,9.2,South
274,AL,Dallas County,,2017,7.5,South
275,AL,DeKalb County,,2007,4.3,South
276,AL,DeKalb County,,2008,5.8,South
277,AL,DeKalb County,,2009,14.3,South
278,AL,DeKalb County,,2010,12.7,South
279,AL,DeKalb County,,2011,11.8,South
280,AL,DeKalb County,,2012,9.0,South
281,AL,DeKalb County,,2013,7.6,South
282,AL,DeKalb County,,2014,6.9,South
283,AL,DeKalb County,,2015,6.0,South
284,AL,DeKalb County,37128.0,2016,6.1,South
285,AL,DeKalb County,,2017,4.5,South
286,AL,Elmore County,,2007,3.3,South
287,AL,Elmore County,,2008,5.1,South
288,AL,Elmore County,,2009,9.5,South
289,AL,Elmore County,,2010,9.1,South
290,AL,Elmore County,,2011,8.4,South
291,AL,Elmore County,,2012,6.9,South
292,AL,Elmore County,,2013,6.2,South
293,AL,Elmore County,,2014,5.7,South
294,AL,Elmore County,,2015,5.0,South
295,AL,Elmore County,54553.0,2016,4.8,South
296,AL,Elmore County,,2017,3.6,South
297,AL,Escambia County,,2007,5.3,South
298,AL,Escambia County,,2008,7.6,South
299,AL,Escambia County,,2009,13.5,South
300,AL,Escambia County,,2010,11.8,South
301,AL,Escambia County,,2011,10.8,South
302,AL,Escambia County,,2012,9.2,South
303,AL,Escambia County,,2013,8.6,South
304,AL,Escambia County,,2014,8.0,South
305,AL,Escambia County,,2015,7.0,South
306,AL,Escambia County,35096.0,2016,6.7,South
307,AL,Escambia County,,2017,5.0,South
308,AL,Etowah County,,2007,4.5,South
309,AL,Etowah County,,2008,6.0,South
310,AL,Etowah County,,2009,11.5,South
311,AL,Etowah County,,2010,10.9,South
312,AL,Etowah County,,2011,10.0,South
313,AL,Etowah County,,2012,8.2,South
314,AL,Etowah County,,2013,7.6,South
315,AL,Etowah County,,2014,7.0,South
316,AL,Etowah County,,2015,6.0,South
317,AL,Etowah County,40972.0,2016,5.9,South
318,AL,Etowah County,,2017,4.6,South
319,AL,Fayette County,,2007,4.7,South
320,AL,Fayette County,,2008,7.2,South
321,AL,Fayette County,,2009,14.0,South
322,AL,Fayette County,,2010,13.0,South
323,AL,Fayette County,,2011,11.1,South
324,AL,Fayette County,,2012,8.6,South
325,AL,Fayette County,,2013,8.3,South
326,AL,Fayette County,,2014,7.8,South
327,AL,Fayette County,,2015,7.0,South
328,AL,Fayette County,38403.0,2016,6.7,South
329,AL,Fayette County,,2017,4.7,South
330,AL,Franklin County,,2007,4.6,South
331,AL,Franklin County,,2008,7.4,South
332,AL,Franklin County,,2009,13.4,South
333,AL,Franklin County,,2010,10.7,South
334,AL,Franklin County,,2011,9.6,South
335,AL,Franklin County,,2012,8.4,South
336,AL,Franklin County,,2013,8.0,South
337,AL,Franklin County,,2014,7.7,South
338,AL,Franklin County,,2015,6.0,South
339,AL,Franklin County,37049.0,2016,5.9,South
340,AL,Franklin County,,2017,4.2,South
341,AL,Geneva County,,2007,3.5,South
342,AL,Geneva County,,2008,5.5,South
343,AL,Geneva County,,2009,10.8,South
344,AL,Geneva County,,2010,10.4,South
345,AL,Geneva County,,2011,9.2,South
346,AL,Geneva County,,2012,7.6,South
347,AL,Geneva County,,2013,7.0,South
348,AL,Geneva County,,2014,6.7,South
349,AL,Geneva County,,2015,6.0,South
350,AL,Geneva County,36976.0,2016,5.8,South
351,AL,Geneva County,,2017,4.3,South
352,AL,Greene County,,2007,6.4,South
353,AL,Greene County,,2008,8.5,South
354,AL,Greene County,,2009,15.3,South
355,AL,Greene County,,2010,17.3,South
356,AL,Greene County,,2011,17.3,South
357,AL,Greene County,,2012,13.6,South
358,AL,Greene County,,2013,12.8,South
359,AL,Greene County,,2014,12.5,South
360,AL,Greene County,,2015,11.0,South
361,AL,Greene County,26559.0,2016,10.0,South
362,AL,Greene County,,2017,7.7,South
363,AL,Hale County,,2007,5.4,South
364,AL,Hale County,,2008,7.4,South
365,AL,Hale County,,2009,14.3,South
366,AL,Hale County,,2010,15.1,South
367,AL,Hale County,,2011,13.8,South
368,AL,Hale County,,2012,11.5,South
369,AL,Hale County,,2013,11.6,South
370,AL,Hale County,,2014,9.9,South
371,AL,Hale County,,2015,8.0,South
372,AL,Hale County,35381.0,2016,7.7,South
373,AL,Hale County,,2017,5.9,South
374,AL,Henry County,,2007,5.4,South
375,AL,Henry County,,2008,7.7,South
376,AL,Henry County,,2009,11.2,South
377,AL,Henry County,,2010,10.9,South
378,AL,Henry County,,2011,9.7,South
379,AL,Henry County,,2012,8.3,South
380,AL,Henry County,,2013,7.7,South
381,AL,Henry County,,2014,7.5,South
382,AL,Henry County,,2015,7.0,South
383,AL,Henry County,41426.0,2016,6.5,South
384,AL,Henry County,,2017,4.9,South
385,AL,Houston County,,2007,3.3,South
386,AL,Houston County,,2008,4.9,South
387,AL,Houston County,,2009,9.3,South
388,AL,Houston County,,2010,9.1,South
389,AL,Houston County,,2011,8.6,South
390,AL,Houston County,,2012,7.5,South
391,AL,Houston County,,2013,6.9,South
392,AL,Houston County,,2014,6.8,South
393,AL,Houston County,,2015,6.0,South
394,AL,Houston County,42910.0,2016,5.8,South
395,AL,Houston County,,2017,4.3,South
396,AL,Jackson County,,2007,4.5,South
397,AL,Jackson County,,2008,6.2,South
398,AL,Jackson County,,2009,12.8,South
399,AL,Jackson County,,2010,11.8,South
400,AL,Jackson County,,2011,10.3,South
401,AL,Jackson County,,2012,8.6,South
402,AL,Jackson County,,2013,7.9,South
403,AL,Jackson County,,2014,7.3,South
404,AL,Jackson County,,2015,7.0,South
405,AL,Jackson County,41407.0,2016,6.3,South
406,AL,Jackson County,,2017,4.8,South
407,AL,Jefferson County,,2007,3.9,South
408,AL,Jefferson County,,2008,5.4,South
409,AL,Jefferson County,,2009,10.8,South
410,AL,Jefferson County,,2010,10.3,South
411,AL,Jefferson County,,2011,9.3,South
412,AL,Jefferson County,,2012,7.4,South
413,AL,Jefferson County,,2013,6.7,South
414,AL,Jefferson County,,2014,6.3,South
415,AL,Jefferson County,,2015,6.0,South
416,AL,Jefferson County,50109.0,2016,5.7,South
417,AL,Jefferson County,,2017,4.2,South
418,AL,Lamar County,,2007,6.3,South
419,AL,Lamar County,,2008,8.0,South
420,AL,Lamar County,,2009,16.0,South
421,AL,Lamar County,,2010,13.2,South
422,AL,Lamar County,,2011,9.7,South
423,AL,Lamar County,,2012,7.5,South
424,AL,Lamar County,,2013,7.0,South
425,AL,Lamar County,,2014,7.0,South
426,AL,Lamar County,,2015,6.0,South
427,AL,Lamar County,38358.0,2016,5.6,South
428,AL,Lamar County,,2017,4.2,South
429,AL,Lauderdale County,,2007,4.3,South
430,AL,Lauderdale County,,2008,5.7,South
431,AL,Lauderdale County,,2009,10.7,South
432,AL,Lauderdale County,,2010,10.1,South
433,AL,Lauderdale County,,2011,9.1,South
434,AL,Lauderdale County,,2012,7.7,South
435,AL,Lauderdale County,,2013,7.1,South
436,AL,Lauderdale County,,2014,7.2,South
437,AL,Lauderdale County,,2015,7.0,South
438,AL,Lauderdale County,44124.0,2016,6.4,South
439,AL,Lauderdale County,,2017,4.6,South
440,AL,Lawrence County,,2007,4.1,South
441,AL,Lawrence County,,2008,6.5,South
442,AL,Lawrence County,,2009,13.6,South
443,AL,Lawrence County,,2010,12.6,South
444,AL,Lawrence County,,2011,10.9,South
445,AL,Lawrence County,,2012,9.0,South
446,AL,Lawrence County,,2013,8.3,South
447,AL,Lawrence County,,2014,8.2,South
448,AL,Lawrence County,,2015,8.0,South
449,AL,Lawrence County,43107.0,2016,6.9,South
450,AL,Lawrence County,,2017,4.9,South
451,AL,Lee County,,2007,3.6,South
452,AL,Lee County,,2008,5.2,South
453,AL,Lee County,,2009,9.4,South
454,AL,Lee County,,2010,9.0,South
455,AL,Lee County,,2011,8.1,South
456,AL,Lee County,,2012,6.8,South
457,AL,Lee County,,2013,5.9,South
458,AL,Lee County,,2014,5.6,South
459,AL,Lee County,,2015,5.0,South
460,AL,Lee County,47749.0,2016,5.2,South
461,AL,Lee County,,2017,3.9,South
462,AL,Limestone County,,2007,3.3,South
463,AL,Limestone County,,2008,4.7,South
464,AL,Limestone County,,2009,9.8,South
465,AL,Limestone County,,2010,9.6,South
466,AL,Limestone County,,2011,8.6,South
467,AL,Limestone County,,2012,6.9,South
468,AL,Limestone County,,2013,6.3,South
469,AL,Limestone County,,2014,6.1,South
470,AL,Limestone County,,2015,6.0,South
471,AL,Limestone County,52181.0,2016,5.3,South
472,AL,Limestone County,,2017,4.0,South
473,AL,Lowndes County,,2007,7.5,South
474,AL,Lowndes County,,2008,10.9,South
475,AL,Lowndes County,,2009,19.3,South
476,AL,Lowndes County,,2010,18.5,South
477,AL,Lowndes County,,2011,17.7,South
478,AL,Lowndes County,,2012,15.4,South
479,AL,Lowndes County,,2013,14.1,South
480,AL,Lowndes County,,2014,12.8,South
481,AL,Lowndes County,,2015,12.0,South
482,AL,Lowndes County,32011.0,2016,10.6,South
483,AL,Lowndes County,,2017,8.0,South
484,AL,Macon County,,2007,5.4,South
485,AL,Macon County,,2008,7.4,South
486,AL,Macon County,,2009,12.2,South
487,AL,Macon County,,2010,14.8,South
488,AL,Macon County,,2011,14.0,South
489,AL,Macon County,,2012,10.7,South
490,AL,Macon County,,2013,9.6,South
491,AL,Macon County,,2014,9.1,South
492,AL,Macon County,,2015,8.0,South
493,AL,Macon County,30681.0,2016,7.6,South
494,AL,Macon County,,2017,5.8,South
495,AL,Madison County,,2007,3.1,South
496,AL,Madison County,,2008,4.2,South
497,AL,Madison County,,2009,8.0,South
498,AL,Madison County,,2010,8.3,South
499,AL,Madison County,,2011,8.3,South
500,AL,Madison County,,2012,6.9,South
501,AL,Madison County,,2013,6.3,South
502,AL,Madison County,,2014,6.2,South
503,AL,Madison County,,2015,6.0,South
504,AL,Madison County,61193.0,2016,5.1,South
505,AL,Madison County,,2017,3.8,South
506,AL,Marengo County,,2007,5.3,South
507,AL,Marengo County,,2008,7.4,South
508,AL,Marengo County,,2009,14.2,South
509,AL,Marengo County,,2010,13.7,South
510,AL,Marengo County,,2011,12.6,South
511,AL,Marengo County,,2012,10.2,South
512,AL,Marengo County,,2013,8.9,South
513,AL,Marengo County,,2014,8.0,South
514,AL,Marengo County,,2015,8.0,South
515,AL,Marengo County,34794.0,2016,7.2,South
516,AL,Marengo County,,2017,5.7,South
517,AL,Marion County,,2007,5.2,South
518,AL,Marion County,,2008,8.0,South
519,AL,Marion County,,2009,16.6,South
520,AL,Marion County,,2010,13.6,South
521,AL,Marion County,,2011,11.2,South
522,AL,Marion County,,2012,8.9,South
523,AL,Marion County,,2013,7.9,South
524,AL,Marion County,,2014,7.9,South
525,AL,Marion County,,2015,7.0,South
526,AL,Marion County,36386.0,2016,6.6,South
527,AL,Marion County,,2017,4.8,South
528,AL,Marshall County,,2007,3.4,South
529,AL,Marshall County,,2008,4.7,South
530,AL,Marshall County,,2009,10.2,South
531,AL,Marshall County,,2010,9.6,South
532,AL,Marshall County,,2011,9.4,South
533,AL,Marshall County,,2012,7.8,South
534,AL,Marshall County,,2013,6.8,South
535,AL,Marshall County,,2014,6.7,South
536,AL,Marshall County,,2015,6.0,South
537,AL,Marshall County,42117.0,2016,5.3,South
538,AL,Marshall County,,2017,3.8,South
539,AL,Mobile County,,2007,4.0,South
540,AL,Mobile County,,2008,5.7,South
541,AL,Mobile County,,2009,11.3,South
542,AL,Mobile County,,2010,11.3,South
543,AL,Mobile County,,2011,10.8,South
544,AL,Mobile County,,2012,9.2,South
545,AL,Mobile County,,2013,8.5,South
546,AL,Mobile County,,2014,7.7,South
547,AL,Mobile County,,2015,7.0,South
548,AL,Mobile County,45233.0,2016,6.6,South
549,AL,Mobile County,,2017,5.2,South
550,AL,Monroe County,,2007,6.4,South
551,AL,Monroe County,,2008,10.2,South
552,AL,Monroe County,,2009,19.5,South
553,AL,Monroe County,,2010,18.1,South
554,AL,Monroe County,,2011,15.7,South
555,AL,Monroe County,,2012,12.5,South
556,AL,Monroe County,,2013,11.9,South
557,AL,Monroe County,,2014,11.1,South
558,AL,Monroe County,,2015,10.0,South
559,AL,Monroe County,36639.0,2016,9.1,South
560,AL,Monroe County,,2017,6.7,South
561,AL,Montgomery County,,2007,4.1,South
562,AL,Montgomery County,,2008,5.9,South
563,AL,Montgomery County,,2009,10.5,South
564,AL,Montgomery County,,2010,10.0,South
565,AL,Montgomery County,,2011,9.7,South
566,AL,Montgomery County,,2012,8.1,South
567,AL,Montgomery County,,2013,7.3,South
568,AL,Montgomery County,,2014,6.9,South
569,AL,Montgomery County,,2015,6.0,South
570,AL,Montgomery County,45111.0,2016,5.7,South
571,AL,Montgomery County,,2017,4.3,South
572,AL,Morgan County,,2007,3.5,South
573,AL,Morgan County,,2008,5.2,South
574,AL,Morgan County,,2009,10.8,South
575,AL,Morgan County,,2010,10.8,South
576,AL,Morgan County,,2011,9.4,South
577,AL,Morgan County,,2012,7.8,South
578,AL,Morgan County,,2013,6.9,South
579,AL,Morgan County,,2014,6.6,South
580,AL,Morgan County,,2015,6.0,South
581,AL,Morgan County,46843.0,2016,5.5,South
582,AL,Morgan County,,2017,4.1,South
583,AL,Perry County,,2007,8.4,South
584,AL,Perry County,,2008,11.3,South
585,AL,Perry County,,2009,19.9,South
586,AL,Perry County,,2010,16.8,South
587,AL,Perry County,,2011,16.5,South
588,AL,Perry County,,2012,13.3,South
589,AL,Perry County,,2013,13.5,South
590,AL,Perry County,,2014,12.1,South
591,AL,Perry County,,2015,10.0,South
592,AL,Perry County,25221.0,2016,10.3,South
593,AL,Perry County,,2017,7.9,South
594,AL,Pickens County,,2007,5.0,South
595,AL,Pickens County,,2008,7.1,South
596,AL,Pickens County,,2009,13.7,South
597,AL,Pickens County,,2010,13.1,South
598,AL,Pickens County,,2011,12.0,South
599,AL,Pickens County,,2012,10.2,South
600,AL,Pickens County,,2013,9.3,South
601,AL,Pickens County,,2014,8.2,South
602,AL,Pickens County,,2015,7.0,South
603,AL,Pickens County,35968.0,2016,6.9,South
604,AL,Pickens County,,2017,5.3,South
605,AL,Pike County,,2007,4.0,South
606,AL,Pike County,,2008,4.9,South
607,AL,Pike County,,2009,9.5,South
608,AL,Pike County,,2010,9.4,South
609,AL,Pike County,,2011,8.9,South
610,AL,Pike County,,2012,8.0,South
611,AL,Pike County,,2013,7.6,South
612,AL,Pike County,,2014,7.4,South
613,AL,Pike County,,2015,7.0,South
614,AL,Pike County,35172.0,2016,6.5,South
615,AL,Pike County,,2017,4.9,South
616,AL,Randolph County,,2007,5.1,South
617,AL,Randolph County,,2008,7.3,South
618,AL,Randolph County,,2009,14.9,South
619,AL,Randolph County,,2010,13.4,South
620,AL,Randolph County,,2011,11.4,South
621,AL,Randolph County,,2012,9.2,South
622,AL,Randolph County,,2013,7.8,South
623,AL,Randolph County,,2014,6.7,South
624,AL,Randolph County,,2015,6.0,South
625,AL,Randolph County,40283.0,2016,5.6,South
626,AL,Randolph County,,2017,4.4,South
627,AL,Russell County,,2007,6.1,South
628,AL,Russell County,,2008,8.0,South
629,AL,Russell County,,2009,12.3,South
630,AL,Russell County,,2010,10.9,South
631,AL,Russell County,,2011,10.3,South
632,AL,Russell County,,2012,8.8,South
633,AL,Russell County,,2013,7.2,South
634,AL,Russell County,,2014,6.5,South
635,AL,Russell County,,2015,6.0,South
636,AL,Russell County,38617.0,2016,5.6,South
637,AL,Russell County,,2017,4.3,South
638,AL,St. Clair County,,2007,3.4,South
639,AL,St. Clair County,,2008,5.0,South
640,AL,St. Clair County,,2009,10.9,South
641,AL,St. Clair County,,2010,10.1,South
642,AL,St. Clair County,,2011,8.8,South
643,AL,St. Clair County,,2012,6.9,South
644,AL,St. Clair County,,2013,6.1,South
645,AL,St. Clair County,,2014,5.8,South
646,AL,St. Clair County,,2015,5.0,South
647,AL,St. Clair County,57856.0,2016,5.2,South
648,AL,St. Clair County,,2017,4.0,South
649,AL,Shelby County,,2007,2.6,South
650,AL,Shelby County,,2008,3.7,South
651,AL,Shelby County,,2009,7.8,South
652,AL,Shelby County,,2010,7.1,South
